"","x","y","c"
"223",1988,0.197884841831163,"Mode"
"224",1989,-0.328080239440926,"Mode"
"225",1990,0.140966580746068,"Mode"
"226",1991,-0.587956522556789,"Mode"
"227",1992,-0.649796382251518,"Mode"
"228",1993,-0.305923145936658,"Mode"
"229",1994,-0.89232144741776,"Mode"
"230",1995,-0.220965668000291,"Mode"
"231",1996,-0.282194152968692,"Mode"
"232",1997,-0.398221510607243,"Mode"
"233",1998,-0.825590378699622,"Mode"
"234",1999,-0.463831912090391,"Mode"
"235",2000,-0.523798445006168,"Mode"
"236",2001,-0.542383390547512,"Mode"
"237",2002,-0.552249915690118,"Mode"
"238",2003,-0.570681997427038,"Mode"
"239",2004,-0.68539092604422,"Mode"
"240",2005,-0.412508278988905,"Mode"
"241",2006,-0.416569573820996,"Mode"
"242",2007,-0.74998118648806,"Mode"
"243",2008,-0.608864907958269,"Mode"
"244",2009,-0.349363210903001,"Mode"
"245",2010,-0.40299629898743,"Mode"
"246",2011,-0.386996014746537,"Mode"
"247",2012,-0.561299365653205,"Mode"
"248",2013,-0.59633027744838,"Mode"
"249",2014,-0.725610954037471,"Mode"
"250",2015,-0.689553385102705,"Mode"
"251",2016,-0.840882780324745,"Mode"
"252",2017,-0.743529097435312,"Mode"
"253",2018,-0.788162561655869,"Mode"
"254",2019,-0.753257339035152,"Mode"
"255",2020,-0.833882934468278,"Mode"
"256",1970,-0.925704878022612,"Speechiness"
"257",1971,-1.00130624235227,"Speechiness"
"258",1972,-1.13496690107459,"Speechiness"
"259",1973,-0.650620525613424,"Speechiness"
"260",1974,-0.734658066299997,"Speechiness"
"261",1975,-1.13275814970975,"Speechiness"
"262",1976,-0.862546939074405,"Speechiness"
"263",1977,-0.912724136475271,"Speechiness"
"264",1978,-0.654818122397867,"Speechiness"
"265",1979,-1.07450583079482,"Speechiness"
"266",1980,-0.652080953569442,"Speechiness"
"267",1981,-1.04191068941974,"Speechiness"
"268",1982,-0.852998151352888,"Speechiness"
"269",1983,-0.964816883937288,"Speechiness"
"270",1984,-1.11028562737617,"Speechiness"
"271",1985,-1.19484691883693,"Speechiness"
"272",1986,-1.15115848510065,"Speechiness"
"273",1987,-0.633896499689256,"Speechiness"
"274",1988,-0.107004012554977,"Speechiness"
"275",1989,-0.504901872448319,"Speechiness"
"276",1990,-0.0636283164570856,"Speechiness"
"277",1991,-0.181617423199708,"Speechiness"
"278",1992,0.51122212049753,"Speechiness"
"279",1993,1.38025683726444,"Speechiness"
"280",1994,1.34878302847263,"Speechiness"
"281",1995,1.42671057018093,"Speechiness"
"282",1996,1.80173311941363,"Speechiness"
"283",1997,0.569145683631519,"Speechiness"
"284",1998,1.62426433242423,"Speechiness"
"285",1999,1.72969513642746,"Speechiness"
"286",2000,1.14642910535677,"Speechiness"
"287",2001,0.66795227020482,"Speechiness"
"288",2002,1.13834761062387,"Speechiness"
"289",2003,2.06033638715908,"Speechiness"
"290",2004,1.53846855910478,"Speechiness"
"291",2005,1.307115566615,"Speechiness"
"292",2006,0.830387526722781,"Speechiness"
"293",2007,0.682177438372219,"Speechiness"
"294",2008,0.386544815568484,"Speechiness"
"295",2009,0.360732968703053,"Speechiness"
"296",2010,0.231587334130003,"Speechiness"
"297",2011,0.610237090118043,"Speechiness"
"298",2012,0.727295078740986,"Speechiness"
"299",2013,0.300737789931531,"Speechiness"
"300",2014,0.331633872602854,"Speechiness"
"301",2015,0.466148431456053,"Speechiness"
"302",2016,0.828938253539588,"Speechiness"
"303",2017,1.12847418898658,"Speechiness"
"304",2018,0.889204540145224,"Speechiness"
"305",2019,0.935803107581933,"Speechiness"
"306",2020,0.959696571727696,"Speechiness"
"307",1970,0.129178759915202,"Acousticness"
"308",1971,0.603211437131589,"Acousticness"
"309",1972,0.317325670005122,"Acousticness"
"310",1973,0.0754052727125629,"Acousticness"
"311",1974,0.428027767176376,"Acousticness"
"312",1975,0.337702436410388,"Acousticness"
"313",1976,-0.175173184298071,"Acousticness"
"314",1977,-0.140385782869123,"Acousticness"
"315",1978,-0.469148269741081,"Acousticness"
"316",1979,-0.39932868704878,"Acousticness"
"317",1980,-0.403829632218326,"Acousticness"
"318",1981,-0.475982492569199,"Acousticness"
"319",1982,-0.450078895035167,"Acousticness"
"320",1983,-0.677698593722273,"Acousticness"
"321",1984,-0.423394446078998,"Acousticness"
"322",1985,-0.0607573678818372,"Acousticness"
"323",1986,-0.464614963473908,"Acousticness"
"324",1987,-0.681982704611293,"Acousticness"
"325",1988,-0.722694372010757,"Acousticness"
"326",1989,-0.620921198614138,"Acousticness"
"327",1990,-0.640078398753594,"Acousticness"
"328",1991,-0.797423972703322,"Acousticness"
"329",1992,-0.616385922537304,"Acousticness"
"330",1993,-0.535896143103197,"Acousticness"
"331",1994,-0.616352524282651,"Acousticness"
"332",1995,-0.31020958133761,"Acousticness"
"333",1996,-0.569062688561331,"Acousticness"
"334",1997,-0.479957167737098,"Acousticness"
"335",1998,-0.530095595525708,"Acousticness"
"336",1999,-0.526883973854942,"Acousticness"
"337",2000,-0.491378443345343,"Acousticness"
"338",2001,-0.617986833753577,"Acousticness"
"339",2002,-0.336091482714137,"Acousticness"
"340",2003,-0.310996416712006,"Acousticness"
"341",2004,-0.459454572057324,"Acousticness"
"342",2005,-0.483950796331477,"Acousticness"
"343",2006,-0.306967051406131,"Acousticness"
"344",2007,-0.364024980106323,"Acousticness"
"345",2008,-0.499504751627668,"Acousticness"
"346",2009,-0.503825655190569,"Acousticness"
"347",2010,-0.535954537168561,"Acousticness"
"348",2011,-0.434092813726052,"Acousticness"
"349",2012,-0.545283993650783,"Acousticness"
"350",2013,-0.702860561922367,"Acousticness"
"351",2014,-0.728991812264029,"Acousticness"
"352",2015,-0.461288291029632,"Acousticness"
"353",2016,-0.383590975536663,"Acousticness"
"354",2017,-0.244670603094004,"Acousticness"
"355",2018,-0.135639893329111,"Acousticness"
"356",2019,-0.263540040472326,"Acousticness"
"357",2020,-0.146932587261942,"Acousticness"
"358",1970,-0.0790340770974178,"Instrumentalness"
"359",1971,0.281619193073153,"Instrumentalness"
"360",1972,0.0219938674291312,"Instrumentalness"
"361",1973,-0.234225158576817,"Instrumentalness"
"362",1974,-0.275722610268852,"Instrumentalness"
"363",1975,-0.24535982861156,"Instrumentalness"
